ID,COMUNA,FID,FALLECIDOS,GRAVES,MENOS_GRAVES,LEVES,ACCIDENTES,LAT,LNG
3,INDEPENDENCIA,4,0,0,1,2,7,-33.43153,-70.65270
8,INDEPENDENCIA,9,0,1,0,1,7,-33.43191,-70.65158
667,INDEPENDENCIA,668,0,1,1,4,8,-33.40636,-70.68053
673,INDEPENDENCIA,674,0,2,0,2,14,-33.41381,-70.67952
734,INDEPENDENCIA,735,0,0,0,2,8,-33.41560,-70.66432
742,INDEPENDENCIA,743,0,2,0,2,7,-33.42417,-70.66194
744,INDEPENDENCIA,745,0,1,0,6,8,-33.41568,-70.66191
750,INDEPENDENCIA,751,0,0,1,3,6,-33.40697,-70.66105
751,INDEPENDENCIA,752,0,0,0,1,6,-33.42678,-70.66104
756,INDEPENDENCIA,757,0,1,1,2,7,-33.42815,-70.66053
778,INDEPENDENCIA,779,0,0,0,2,5,-33.41559,-70.65724
785,INDEPENDENCIA,786,0,0,0,0,5,-33.41764,-70.65642
789,INDEPENDENCIA,790,0,0,0,1,5,-33.42191,-70.65555
792,INDEPENDENCIA,793,0,0,0,5,5,-33.42523,-70.65470
796,INDEPENDENCIA,797,0,0,0,2,5,-33.42757,-70.65421
